fruits,noodle,bread,sea_meat_proc,seafood,vegetables,milk_product,drink,seasoned,alcohol,meat,snack,y
-0.16739197,-1.083151832,-0.980106153,-1.135356104,-0.245002224,-0.042034196,-0.763463549,-0.752758246,0.009149598,-0.275142763,-0.317273109,-1.005995788,1
-0.069617444,-0.870292763,-0.582191643,-0.825126951,-0.031651394,-0.514105494,-0.307048747,-0.660122318,-0.045128945,-0.437843315,-0.254919954,-0.682021294,1
1.178524955,-0.042507493,-0.011190122,-0.713388934,-0.952537486,-1.227088421,2.027918194,-0.677167329,-1.166578842,-0.364741579,-0.516699498,1.513143889,1
-0.687957033,0.099398553,-0.122188548,0.985028924,0.975702876,0.446980456,-0.166894669,-0.042568471,0.246871217,0.233996451,-0.120750484,0.585072122,1
-1.084449594,-0.602248009,-0.740506707,-1.048602985,-0.932361577,-1.472685352,0.550227031,-0.415373448,-1.215950849,-0.516166604,-0.410954079,0.452759506,1
-0.216841155,-0.886060101,-0.665796227,-0.766597514,-0.766630903,0.611547107,-0.535967075,-0.524636336,-0.433051866,-0.133252747,-0.182369056,-0.790319877,1
0.331595267,0.052096538,-0.416761296,0.020889463,0.811413338,1.835354943,0.645998985,0.788703588,0.907045495,0.415010274,0.356296521,-0.124048162,1
-0.185373492,1.644597723,-0.544836404,-0.383495741,1.560804211,1.004168051,-0.90503948,1.579766903,2.670331496,0.362794748,0.010437442,-0.915098679,1
-0.932634172,-0.739874349,-0.532028893,-0.842913819,-0.678309836,-0.595553455,-0.783172172,0.097912386,-0.343174659,-0.48309677,-0.416178879,-0.442082757,1
0.718197991,-0.665317362,-0.861466531,-0.394137457,2.461514394,-0.35329798,-0.692472462,-0.70819799,-0.82802793,-0.275395012,0.028326705,-0.733816268,1
0.039395534,-0.160762532,-0.448780073,-1.240153872,-0.622517274,-0.451453215,-0.342087266,-0.369483034,-0.665805617,0.383100786,-0.234049148,-0.639643588,1
1.451694245,-0.938617896,-1.147263762,-0.15292523,2.4591125,0.81342667,-1.417380499,-0.828387168,0.413325415,-0.412702506,-0.279766152,-1.01633431,1
-0.059502838,-1.272359894,-0.452337714,-1.250795588,-0.449580918,-0.395066165,-0.521951667,-0.771570465,-0.86329365,-0.394330377,-0.403003296,-0.891555508,1
0.625593153,0.190849116,0.646262098,1.857649628,0.015906104,0.513809552,0.650670787,-0.106377998,0.190446064,-0.524869191,-0.019775535,-0.063777647,1
0.277650701,0.950834831,3.318762677,-1.064565559,4.284551805,-0.562138907,0.716076024,-0.421929221,0.794195192,1.900251899,0.392075046,2.277355191,1
0.064869357,-0.712619378,-0.949221697,-0.677916548,1.19571635,0.179942523,0.287827452,0.829495066,-0.076868093,-0.416570323,-0.126713572,-1.119139487,1
-0.713580702,-0.426179396,-0.969381667,-0.835768667,0.501569035,0.121467063,-1.076338909,-0.714753763,1.113937719,-0.376925201,0.151563848,-1.262752824,1
-0.713580702,-0.426179396,-0.969381667,-0.835768667,0.501569035,0.121467063,-1.076338909,-0.714753763,1.113937719,-0.376925201,0.151563848,-1.262752824,1
-0.449252328,1.97098163,-0.684295965,-0.426062605,-0.730602496,-0.220475149,1.725652566,-0.416684602,0.049383184,-0.306724328,-0.174020733,-0.714981733,1
0.129303144,-0.1686462,-0.153495797,-0.30900373,0.782590612,1.509563096,0.174146922,0.264241721,1.104533527,0.345389573,0.296665645,-0.3783144,1
-0.113447403,-0.657433693,-0.352723742,-0.628255207,-0.002828668,-0.405508211,0.042168498,-0.524636336,-0.036312515,-0.513265741,-0.063107304,-0.350062595,1
-0.881408241,1.352901961,-0.962266384,-0.174208662,-0.339093803,-0.745918923,-0.806931625,0.013665496,-0.400137193,-0.335346171,1.352132144,-0.145237015,1
-0.897891303,0.075747545,1.123697638,0.850943304,-0.658545681,-0.689531873,-0.540638877,-0.310481074,-0.362520425,0.18294127,0.018388225,0.643459184,1
-0.527213704,0.571412282,0.896235641,-0.504177328,-1.057771097,-0.599819143,0.221063748,0.797630598,-0.450759759,-0.111588859,-0.242803468,0.668805661,1
-0.637721156,-0.958984042,-0.470125924,-0.605641561,0.006178434,-0.410729235,-0.734518685,-0.507700588,-0.267302981,-0.403032964,-0.150565922,-0.607860309,1
0.225953825,0.331966796,-0.63377745,0.296243862,-0.283850245,-0.040036588,0.304957395,-0.381501952,0.187624807,-0.059280752,0.103859147,-0.929224581,1
-0.594453118,-1.091035501,0.017271014,-1.213549581,-0.716191133,-0.666559371,-0.70765582,-0.739884228,-0.461264442,-0.521968329,-0.356292443,-0.933933215,1
-0.137048151,1.743143588,-0.237989791,1.154232207,1.141073265,0.137478201,2.180686141,0.185572441,0.483856855,-0.383452142,0.086466809,0.926565805,1
